rank,competitor,dob,nat,sec,pos_sec,pos_full,venue,date,world_athletics_event_ranking_score,men_100,men_100_wind,men_100_score,men_lj,men_lj_wind,men_lj_score,men_sp,men_sp_score,men_hj,men_hj_score,men_400,men_400_score,men_110h,men_110h_wind,men_110h_score,men_dt,men_dt_score,men_pv,men_pv_score,men_jt,men_jt_score,men_1500,men_1500_score,overall_score,average_wind
1,Roman Šebrle,11/26/1974,CZE,1,1,1,"Olympiastadion, München (GER)",8/8/2002,1251,10.83,1.3,899,7.92,0.8,1040,15.41,815,2.12,915,48.48,886,14.04,0,969,46.88,806,5.1,941,68.51,867,04:42:00,662.4,8800,0.7000000000000001
3,Damian Warner,11/4/1989,CAN,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/29/2022,1250,10.14,0.9,1062,7.93,-0.6,1043,14.92,785,2.03,831,47.92,913,13.48,1,1043,48.24,834,4.9,880,58.62,717,04:38:00,689.32,8797,0.43333333333333335
2,Damian Warner,11/4/1989,CAN,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/27/2018,1250,10.31,0.6,1020,7.81,0.5,1012,14.83,779,2.03,831,47.72,923,13.56,0,1032,47.32,815,4.8,849,61.94,767,04:26:00,767.64,8795,0.3666666666666667
2,Bryan Clay,1/3/1980,USA,1,1,1,"National Stadium, Beijing (CHN)",8/22/2008,1249,10.44,0.3,989,7.78,0,1005,16.27,868,1.99,794,48.92,865,13.93,-0.5,984,53.79,950,5,910,70.97,904,05:06:00,522.88,8791,-0.06666666666666667
1,Trey Hardee,2/7/1984,USA,1,1,1,"Olympiastadion, Berlin (GER)",8/20/2009,1249,10.45,0.2,987,7.83,1.9,1017,15.33,810,1.99,794,48.13,903,13.86,0.3,993,48.08,830,5.2,972,68,859,04:48:00,625.75,8790,0.7999999999999999
2,Tom Pappas,9/6/1976,USA,1,1,1,"Palo Alto, CA (USA)",6/22/2003,1248,10.78,0.2,910,7.96,1.4,1050,16.28,869,2.17,963,48.22,899,14.13,1.7,958,45.84,784,5.2,972,60.77,749,04:48:00,630.54,8784,1.0999999999999999
1,Kevin Mayer,2/10/1992,FRA,1,1,1,"Olympic Stadium, London (GBR)",8/12/2017,1246,10.7,-0.8,929,7.52,0,940,15.72,834,2.08,878,48.26,897,13.75,-0.1,1007,47.14,811,5.1,941,66.1,830,04:36:00,701.53,8768,-0.3
3,Tom Pappas,9/6/1976,USA,1,1,1,"Stade de France, Paris-St-Denis (FRA)",8/27/2003,1243,10.8,-0.5,906,7.62,1.1,965,16.11,858,2.09,887,47.58,930,13.99,0,976,46.94,807,5.1,941,65.9,827,04:44:00,653.9,8750,0.20000000000000004
3,Ashton Eaton,1/21/1988,USA,1,1,1,"Hayward Field, Eugene, OR (USA)",7/3/2016,1243,10.34,1.8,1013,7.84,1.4,1020,14.04,731,2,803,46.3,993,13.6,2.1,1027,41.39,693,5.25,988,57.84,705,04:25:00,777.25,8750,1.7666666666666668
1,Bryan Clay,1/3/1980,USA,1,1,1,"Olympiastadion, Helsinki (FIN)",8/10/2005,1240,10.43,3.2,992,7.54,0.6,945,16.25,867,2,803,47.78,920,14.43,-2.6,920,53.68,947,4.9,880,72,920,05:03:00,538.71,8732,0.4000000000000001
4,Tom Pappas,9/6/1976,USA,1,2,2,Götzis (AUT),5/30/2004,1240,10.74,0.5,919,7.45,1.1,922,15.89,844,2.15,944,48.81,870,13.9,0.3,987,48.73,844,5.2,972,64.48,805,04:49:00,625.02,8732,0.6333333333333334
1,Ashton Eaton,1/21/1988,USA,1,1,1,"Hayward Field, Eugene, OR (USA)",6/24/2011,1240,10.33,0.6,1016,7.8,3.1,1010,14.14,737,2.05,850,46.35,991,13.52,1.6,1037,41.58,697,5.05,926,56.19,681,04:24:00,784.29,8729,1.7666666666666668
3,Kevin Mayer,2/10/1992,FRA,1,2,2,"National Stadium, Tokyo (JPN)",8/5/2021,1239,10.68,0.1,933,7.5,0.9,935,15.07,794,2.08,878,50.31,800,13.9,0.1,987,48.08,830,5.2,972,73.09,937,04:43:00,660.97,8726,0.3666666666666667
2,Trey Hardee,2/7/1984,USA,1,1,1,"Hayward Field, Eugene, OR (USA)",6/26/2015,1239,10.48,2,980,7.61,3.4,962,14.55,762,1.97,776,48.41,889,13.71,1.3,1012,52.05,913,5.35,1020,61.92,767,04:45:00,644.91,8725,2.2333333333333334
5,Dmitriy Karpov,7/23/1981,KAZ,1,3,3,"Olympic Stadium, Athina (GRE)",8/24/2004,1239,10.5,2.2,975,7.81,-0.9,1012,15.93,847,2.09,887,46.81,968,13.97,1.5,978,51.65,905,4.6,790,55.54,671,04:38:00,692.74,8725,0.9333333333333335
4,Kyle Garland,5/28/2000,USA,1,2,2,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1238,10.63,0.9,945,7.86,1,1025,16.44,878,2.16,953,49.04,859,13.71,1,1012,46.16,791,4.85,865,59.63,732,04:43:00,660.72,8720,0.9666666666666667
1,Damian Warner,11/4/1989,CAN,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/26/2019,1237,10.12,0.9,1066,7.67,0.4,977,15.34,811,2,803,47.38,939,13.64,-0.1,1022,47.23,813,4.6,790,63.67,793,04:37:00,697.32,8711,0.39999999999999997
3,Roman Šebrle,11/26/1974,CZE,1,1,1,"Stadionring, Ratingen (GER)",6/16/2002,1235,10.87,NA,890,7.76,NA,1000,15.55,824,2.1,896,48.26,897,14.04,NA,969,46.52,798,5,910,62.17,771,04:29:00,746.68,8701,NA
5,Pierce Lepage,1/22/1996,CAN,1,2,2,"Hayward Field, Eugene, OR (USA)",7/24/2022,1235,10.39,0.8,1001,7.54,0.8,945,14.83,779,1.99,794,46.84,966,13.78,1.1,1003,53.26,939,5,910,57.52,701,04:42:00,663.45,8701,0.9
1,Roman Šebrle,11/26/1974,CZE,1,1,1,Kladno (CZE),6/20/2007,1235,10.94,NA,874,7.84,1.4,1020,16.47,880,2.12,915,48.99,862,14.39,NA,925,47.66,822,4.8,849,68.87,872,04:40:00,678.03,8697,NA
3,Damian Warner,11/4/1989,CAN,1,2,2,"National Stadium, Beijing (CHN)",8/29/2015,1234,10.31,-0.4,1020,7.65,0.2,972,14.44,755,2.04,840,47.3,943,13.63,-0.2,1023,44.99,767,4.8,849,63.5,791,04:31:00,735.22,8695,-0.13333333333333333
2,Niklas Kaul,2/11/1998,GER,1,1,1,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1234,11.27,0.3,801,7.19,0.6,859,15.1,796,2.02,822,48.48,886,14.64,0.7,894,49.2,854,5,910,79.05,1028,04:15:00,841.68,8691,0.5333333333333333
2,Trey Hardee,2/7/1984,USA,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/29/2011,1233,10.44,-0.7,989,7.88,0.6,1030,15.63,828,2,803,48.12,903,13.73,0,1010,45.2,771,5.06,929,63.33,788,04:46:00,638.1,8689,-0.033333333333333326
1,Bryan Clay,1/3/1980,USA,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/28/2006,1231,10.42,-0.4,994,7.67,-1,977,15.56,824,2.06,859,48.87,867,13.74,1.3,1008,52.21,917,5,910,66.47,836,05:13:00,485.15,8677,-0.03333333333333329
2,Roman Šebrle,11/26/1974,CZE,1,1,1,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1231,11.04,-0.2,852,7.56,-0.1,950,15.92,846,2.12,915,48.8,871,14.33,-0.3,932,48.75,844,4.8,849,71.18,907,04:35:00,710.56,8676,-0.20000000000000004
6,Zachery Ziemek,2/23/1993,USA,1,3,3,"Hayward Field, Eugene, OR (USA)",7/24/2022,1231,10.57,0.8,959,7.7,1.6,985,15.37,812,2.08,878,49.56,835,14.47,1.5,915,48.4,837,5.4,1035,62.18,771,04:45:00,649.83,8676,1.3
3,Trey Hardee,2/7/1984,USA,1,2,2,"Olympic Stadium, London (GBR)",8/9/2012,1230,10.42,0.4,994,7.53,1.1,942,15.28,807,1.99,794,48.11,904,13.54,0.1,1035,48.26,834,4.8,849,66.65,838,04:40:00,674.89,8671,0.5333333333333333
2,Michael Schrader,7/1/1987,GER,1,2,2,"Luzhniki Stadion, Moskva (RUS)",8/11/2013,1230,10.73,-0.5,922,7.85,0.2,1022,14.56,763,1.99,794,47.66,926,14.29,0.4,937,46.44,797,5,910,65.67,824,04:25:00,775.71,8670,0.03333333333333335
4,Damian Warner,11/4/1989,CAN,1,3,3,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1230,10.3,-0.1,1023,7.67,0.5,977,13.66,708,2.04,840,47.35,941,13.58,0.7,1029,44.93,765,4.7,819,63.19,786,04:24:00,778.93,8666,0.3666666666666667
2,Rico Freimuth,3/14/1988,GER,1,1,1,"Stadionring, Ratingen (GER)",6/25/2017,1229,10.44,3.3,989,7.6,1.5,960,14.87,782,2.01,813,48.76,873,13.87,0.7,991,51.56,903,4.9,880,62.33,773,04:37:00,699.55,8663,1.8333333333333333
6,Bryan Clay,1/3/1980,USA,1,1,1,"Sacramento, CA (USA)",7/17/2004,1229,10.48,-0.1,980,7.59,-0.4,957,15.28,807,2.01,813,47.9,914,14.23,-0.6,945,52.1,914,5.1,941,68.36,864,05:06:00,525.16,8660,-0.3666666666666667
4,Damian Warner,11/4/1989,CAN,1,1,1,"CIBC, Toronto (CAN)",7/23/2015,1229,10.28,1.4,1028,7.68,2.4,980,14.36,750,1.97,776,47.66,926,13.44,2,1048,47.56,820,4.6,790,61.53,761,04:24:00,780.06,8659,1.9333333333333333
2,Leonel Suárez,9/1/1987,CUB,1,1,1,La Habana (CUB),7/4/2009,1228,11.07,0.7,845,7.42,0.8,915,14.39,752,2.09,887,47.65,926,14.15,-0.6,955,46.07,789,4.7,819,77.47,1004,04:27:00,762.99,8654,0.3
4,Ashley Moloney,3/13/2000,AUS,1,3,3,"National Stadium, Tokyo (JPN)",8/5/2021,1227,10.34,0.2,1013,7.64,0.4,970,14.49,758,2.11,906,46.29,994,14.08,-1,964,44.38,754,5,910,57.12,695,04:39:00,685.9,8649,-0.1333333333333333
5,Garrett Scantling,5/19/1993,USA,1,1,1,"Hayward Field, Eugene, OR (USA)",6/20/2021,1227,10.53,1.8,968,7.61,2.6,962,15.91,846,2.05,850,48.86,868,13.88,1.2,990,48.17,832,5.15,957,64.21,801,04:57:00,573.25,8647,1.866666666666667
3,Maurice Smith,9/28/1980,JAM,1,2,2,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1226,10.62,0.7,947,7.5,0,935,17.32,933,1.97,776,47.48,934,13.91,-0.2,986,52.36,920,4.8,849,53.61,642,04:33:00,722.16,8644,0.16666666666666666
3,Leonel Suárez,9/1/1987,CUB,1,2,2,"Olympiastadion, Berlin (GER)",8/20/2009,1226,11.13,0,832,7.24,-0.3,871,15.2,802,2.11,906,48,909,14.45,0.3,917,44.71,761,5,910,75.19,969,04:27:00,763.25,8640,0
4,Roman Šebrle,11/26/1974,CZE,1,2,2,"Stade de France, Paris-St-Denis (FRA)",8/27/2003,1225,11,-0.5,861,7.64,-0.9,970,15.47,819,2.06,859,47.9,914,14.25,0,942,47.47,818,4.8,849,69.79,886,04:34:00,716.16,8634,-0.4666666666666666
4,Andrei Krauchanka,1/4/1986,BLR,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/27/2007,1222,10.86,0.2,892,7.9,0.9,1035,13.89,722,2.15,944,47.46,935,14.05,-0.1,968,39.63,657,5,910,64.35,803,04:29:00,751.02,8617,0.3333333333333333
1,Andrei Krauchanka,1/4/1986,BLR,1,1,1,"Letzigrund, Zürich (SUI)",8/13/2014,1222,11.31,-1.1,793,7.63,-0.7,967,15.19,801,2.22,1012,50.53,790,14.2,0.1,949,47.46,818,5.1,941,68.11,861,04:39:00,684.64,8616,-0.5666666666666667
6,Garrett Scantling,5/19/1993,USA,1,4,4,"National Stadium, Tokyo (JPN)",8/5/2021,1221,10.67,0.2,935,7.3,-0.1,886,15.59,826,1.99,794,48.25,897,14.03,-1,971,45.46,776,5.1,941,69.1,876,04:35:00,709.15,8611,-0.3
3,Trey Hardee,2/7/1984,USA,1,1,1,"DS, Daegu (KOR)",8/28/2011,1221,10.55,-0.5,963,7.45,0.1,922,15.09,795,2.02,822,48.37,891,13.97,-0.8,978,49.89,868,4.8,849,68.99,874,04:45:00,645.46,8607,-0.4000000000000001
5,Roman Šebrle,11/26/1974,CZE,1,1,1,"Stadionring, Ratingen (GER)",7/13/2003,1220,10.93,1.6,876,7.6,0.5,960,15.41,815,2.09,887,48.59,881,14.3,-1.2,936,47.31,815,5.1,941,63.14,785,04:35:00,710.24,8606,0.30000000000000004
5,Arthur Abele,7/30/1986,GER,1,1,1,"Stadionring, Ratingen (GER)",6/26/2016,1220,10.95,-0.6,872,7.48,0.4,930,15.79,838,1.98,785,49.43,841,14.07,-0.9,965,46.2,792,4.9,880,71.89,918,04:24:00,784.16,8605,-0.3666666666666667
4,Erki Nool,6/25/1970,EST,1,2,2,Götzis (AUT),5/27/2001,1220,10.73,0,922,7.8,1.8,1010,14.37,751,1.97,776,46.89,964,14.46,-0.6,916,43.32,732,5.3,1004,66.94,843,04:39:00,686.41,8604,0.4000000000000001
3,Maicel Uibo,12/27/1992,EST,1,2,2,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1220,11.1,0.3,838,7.46,0.2,925,15.12,797,2.17,963,50.44,794,14.43,0.2,920,46.64,801,5.4,1035,63.83,796,04:31:00,735.22,8604,0.2333333333333333
7,Pierce Lepage,1/22/1996,CAN,1,5,5,"National Stadium, Tokyo (JPN)",8/5/2021,1220,10.43,0.2,992,7.65,0.9,972,15.31,809,1.99,794,46.92,962,14.39,-1,925,47.14,811,5,910,57.24,696,04:31:00,733.01,8604,0.03333333333333336
5,Dean Macey,12/12/1977,GBR,1,3,3,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1220,10.72,-0.7,924,7.59,0.4,957,15.41,815,2.15,944,46.21,998,14.34,0,931,46.96,807,4.7,819,54.61,657,04:29:00,751.35,8603,-0.09999999999999998
3,Ilya Shkurenyov,1/11/1991,RUS,1,1,1,Smolensk (RUS),6/10/2017,1220,10.89,0.7,885,7.58,0.9,955,14.15,738,2.12,915,49,861,13.95,1.4,981,44.91,765,5.3,1004,60.29,742,04:28:00,755.97,8601,1
4,Damian Warner,11/4/1989,CAN,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/28/2017,1218,10.35,0.5,1011,7.85,1.4,1022,14.09,734,2.03,831,47.49,934,13.54,-0.2,1035,44.35,753,4.7,819,57.69,703,04:29:00,749.51,8591,0.5666666666666667
5,Dmitriy Karpov,7/23/1981,KAZ,1,3,3,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1217,10.7,-0.2,929,7.19,0,859,16.08,856,2.06,859,47.44,936,14.03,-0.2,971,48.95,849,5,910,59.84,735,04:39:00,682.81,8586,-0.13333333333333333
3,Andrei Krauchanka,1/4/1986,BLR,1,1,1,"Blankers-Koen Stadion, Hengelo (NED)",6/29/2008,1217,10.98,1.2,865,7.68,0.5,980,14.22,742,2.13,925,48.17,901,14.17,0.4,953,41.85,702,5.2,972,64.09,800,04:29:00,745.63,8585,0.7000000000000001
6,Tom Pappas,9/6/1976,USA,1,2,2,Götzis (AUT),6/1/2003,1217,10.65,-0.2,940,7.42,1.3,915,16.48,881,2.18,973,48.74,874,14.09,0,963,46.71,802,5,910,62.06,769,05:00:00,558.79,8585,0.3666666666666667
4,Tom Pappas,9/6/1976,USA,1,2,2,Götzis (AUT),6/2/2002,1217,10.85,0.7,894,7.62,1.3,965,15.32,809,2.18,973,49.47,839,13.93,1.6,984,45.75,782,5.2,972,63.42,789,04:57:00,576.63,8583,1.2
6,Kai Kazmirek,1/28/1991,GER,1,4,4,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1216,10.78,-0.1,910,7.69,-1,982,14.2,741,2.1,896,46.75,971,14.62,0.7,896,43.25,731,5,910,64.6,807,04:31:00,736.92,8580,-0.1333333333333334
7,Zachery Ziemek,2/23/1993,USA,1,3,3,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1215,10.56,0.9,961,7.62,1.7,965,14.97,788,2.1,896,50.44,794,14.71,-0.2,885,51.64,905,5.15,957,60.1,739,04:39:00,683.32,8573,0.7999999999999999
4,Niklas Kaul,2/11/1998,GER,1,1,1,Gävle (SWE),7/14/2019,1215,11.17,1.9,823,7.26,0.4,876,15.19,801,2.03,831,48.67,877,14.83,0.2,870,47.35,815,4.8,849,77.36,1002,04:17:00,828.33,8572,0.8333333333333334
4,Tom Pappas,9/6/1976,USA,1,1,1,Marburg (GER),8/9/2009,1215,10.84,1.6,897,7.63,1.7,967,16.82,902,2.07,868,49.49,838,14.19,0.3,950,51.57,903,5.05,926,61.7,763,05:00:00,555.8,8569,1.2
5,Rico Freimuth,3/14/1988,GER,1,2,2,"Olympic Stadium, London (GBR)",8/12/2017,1214,10.53,-0.7,968,7.48,-0.4,930,14.85,780,1.99,794,48.41,889,13.68,-0.1,1016,51.17,895,4.8,849,62.34,773,04:41:00,670.94,8564,-0.4000000000000001
5,Rico Freimuth,3/14/1988,GER,1,3,3,"National Stadium, Beijing (CHN)",8/29/2015,1213,10.51,-0.4,973,7.51,0.5,937,15.5,820,1.95,758,47.82,918,13.91,-0.2,986,50.17,874,4.8,849,60.61,747,04:37:00,699.49,8561,-0.03333333333333335
4,Pascal Behrenbruch,1/19/1985,GER,1,1,1,"Olympiastadion, Helsinki (FIN)",6/28/2012,1213,10.93,0.8,876,7.15,-0.8,850,16.89,906,1.97,776,48.54,883,14.16,0.2,954,48.24,834,5,910,67.45,851,04:34:00,718.93,8558,0.06666666666666667
6,Andrei Krauchanka,1/4/1986,BLR,1,1,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/23/2007,1212,10.98,0.2,865,7.73,0.8,992,14,728,2.13,925,47.17,950,14.08,-1.1,964,44.08,748,5.15,957,64.08,799,04:49:00,625.27,8553,-0.03333333333333336
6,Dmitriy Karpov,7/23/1981,KAZ,1,2,2,Kladno (CZE),6/20/2007,1212,10.9,NA,883,7.54,1.4,945,16.36,873,2.03,831,47.75,921,14.42,NA,921,52.24,917,5,910,55.66,673,04:40:00,679.03,8553,NA
1,Kevin Mayer,2/10/1992,FRA,1,1,1,"Stade P-J. Bénard, St-Paul (FRA)",12/19/2020,1212,10.68,-0.5,933,7.4,0.6,910,16.2,864,1.97,776,48.87,867,13.54,1.8,1035,50.32,877,4.65,804,67.66,854,04:47:00,632.86,8552,0.6333333333333333
4,Andrei Krauchanka,1/4/1986,BLR,1,2,2,"National Stadium, Beijing (CHN)",8/22/2008,1212,10.96,-0.2,870,7.61,-0.2,962,14.39,752,2.11,906,47.3,943,14.21,-0.5,948,44.58,758,5,910,60.23,741,04:27:00,761.8,8551,-0.3
8,Lindon Victor,2/28/1993,GRN,1,1,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/18/2022,1212,10.61,3.1,949,7.49,1.1,932,15.75,836,2.02,822,48.2,899,14.7,-0.7,886,51,891,4.8,849,66.01,829,04:43:00,657.43,8550,1.1666666666666667
9,Niklas Kaul,2/11/1998,GER,1,1,1,"Olympiastadion, München (GER)",8/16/2022,1211,11.16,-0.2,825,7.1,-0.5,838,14.9,784,2.02,822,47.87,915,14.45,0,917,41.8,701,4.9,880,76.05,982,04:10:00,881.39,8545,-0.2333333333333333
6,Lindon Victor,2/28/1993,GRN,1,1,1,"Columbia, SC (USA)",5/12/2017,1210,10.64,3.6,942,7.35,2.1,898,15.18,801,2.05,850,48.74,874,14.45,1.8,917,55.22,980,4.7,819,68.97,874,04:55:00,584.01,8539,2.5
6,Eelco Sintnicolaas,4/7/1987,NED,1,2,2,"Mösle-Stadium, Götzis (AUT)",5/28/2017,1210,10.57,0.5,959,7.61,0.6,962,14.62,766,1.91,723,48.37,891,14.16,-1.2,954,43.52,736,5.4,1035,62.13,770,04:30:00,743,8539,-0.03333333333333329
6,Ilya Shkurenyov,1/11/1991,RUS,1,4,4,"National Stadium, Beijing (CHN)",8/29/2015,1210,11.01,-0.7,858,7.5,0.5,935,14.09,734,2.1,896,47.88,915,14.27,-0.2,940,44.53,757,5.2,972,60.99,753,04:25:00,778.39,8538,-0.13333333333333333
2,Roman Šebrle,11/26/1974,CZE,1,1,1,"Mösle-Stadium, Götzis (AUT)",5/29/2005,1209,11.06,0.4,847,7.85,0,1022,15.36,812,2.06,859,49.17,853,14.5,-1.2,911,47.77,824,4.8,849,66.57,837,04:33:00,720.74,8534,-0.26666666666666666
5,Trey Hardee,2/7/1984,USA,1,2,2,"Eugene, OR (USA)",6/30/2008,1209,10.43,-0.4,992,7.75,-1.1,997,14.07,733,2.02,822,47.99,910,13.71,1.9,1012,42.41,714,5,910,63.69,794,04:44:00,650.94,8534,0.1333333333333333
8,Pierce Lepage,1/22/1996,CAN,1,2,2,"Mösle-Stadium, Götzis (AUT)",5/30/2021,1209,10.3,0.7,1023,7.45,1,922,14.31,747,2,803,47.65,926,14.05,0.9,968,48.25,834,5.1,941,57.06,694,04:40:00,676.46,8534,0.8666666666666667
10,Ayden Owens-Delerme,5/28/2000,PUR,1,4,4,"Hayward Field, Eugene, OR (USA)",7/24/2022,1209,10.52,0.8,970,7.64,0.9,970,14.97,788,2.02,822,45.07,1056,13.88,1.1,990,42.36,713,4.5,760,50.98,603,04:13:00,860.38,8532,0.9333333333333335
5,Damian Warner,11/4/1989,CAN,1,3,3,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1208,10.35,0.8,1011,7.67,-0.1,977,15.17,800,2.02,822,48.12,903,13.56,0.8,1032,42.19,709,4.7,819,62.87,781,04:40:00,675.95,8529,0.5
